"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Should handle service exception gracefully","","Mon Jul 28 10:22:55 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.RoleControllerTest","com.talentradar.user_service.controller.RoleControllerTest","getAllRoles_WhenServiceThrowsException_ReturnsError"
"","2","Should create InvalidTokenException with message and cause","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.InvalidTokenExceptionTest","com.talentradar.user_service.exception.InvalidTokenExceptionTest","shouldCreateWithMessageAndCause"
"","17","Should validate registration token successfully","","Mon Jul 28 10:22:56 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","validateRegistrationToken_WithValidToken_ReturnsUserEmail"
"","4","Should throw exception when user not found","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.CustomUserDetailsServiceTest","com.talentradar.user_service.service.CustomUserDetailsServiceTest","loadUserByUsername_WithInvalidEmail_ThrowsUsernameNotFoundException"
"","1","Should handle null message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.AppExceptionTest","com.talentradar.user_service.exception.AppExceptionTest","shouldHandleNullMessage"
"","5","Should create InvalidTokenException with message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.InvalidTokenExceptionTest","com.talentradar.user_service.exception.InvalidTokenExceptionTest","shouldCreateWithMessage"
"","6","Should successfully initiate registration for developer and send event","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","initiateRegistration_WithDeveloperRole_SendsEvent"
"","1","Should create InvalidDateFormatException with message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.InvalidDateFormatExceptionTest","com.talentradar.user_service.exception.InvalidDateFormatExceptionTest","shouldCreateWithMessage"
"","3","Should call sendRegistrationInvite with empty email","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.EmailServiceTest","com.talentradar.user_service.service.EmailServiceTest","sendRegistrationInvite_WithEmptyEmail_CallsService"
"","4","Should throw exception when role not found in initiateRegistration","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","initiateRegistration_WithInvalidRoleId_ThrowsException"
"","28","Should return error when user ID header is missing","","Mon Jul 28 10:22:55 GMT 2025","passed","Mon Jul 28 10:22:55 GMT 2025","","com.talentradar.user_service.controller.UserControllerTest","com.talentradar.user_service.controller.UserControllerTest","getMe_WithMissingUserIdHeader_ReturnsBadRequest"
"","24","Should return conflict for existing email","","Mon Jul 28 10:22:56 GMT 2025","passed","Mon Jul 28 10:22:56 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithExistingEmail_ReturnsConflict"
"","4","Should throw RuntimeException when email contains special characters","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WithSpecialCharactersInEmail_ThrowsRuntimeException"
"","4","Should handle pagination with page 0","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","getAllUsers_WithPageZero_HandlesCorrectly"
"","4","Should handle null message","","Mon Jul 28 10:22:47 GMT 2025","passed","Mon Jul 28 10:22:47 GMT 2025","","com.talentradar.user_service.exception.ResourceNotFoundExceptionTest","com.talentradar.user_service.exception.ResourceNotFoundExceptionTest","shouldHandleNullMessage"
"","4","Should throw exception when user not found during token validation","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","validateRegistrationToken_WithInvalidToken_UserNotFound_ThrowsException"
"","4","Should throw RuntimeException when invite link contains malicious content","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WithMaliciousInviteLink_ThrowsRuntimeException"
"","6","Should successfully initiate registration for regular user","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","initiateRegistration_WithValidRequest_SuccessfullyCreatesUser"
"","30","Should get users filtered by role","","Mon Jul 28 10:22:55 GMT 2025","passed","Mon Jul 28 10:22:55 GMT 2025","","com.talentradar.user_service.controller.UserControllerTest","com.talentradar.user_service.controller.UserControllerTest","getAll_WithRoleFilter_ReturnsFilteredUsers"
"","11","Should send registration invite email successfully","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.SmtpEmailServiceTest","com.talentradar.user_service.service.SmtpEmailServiceTest","sendRegistrationInvite_WithValidParameters_SendsEmail"
"","2","Should handle inactive user correctly","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.CustomUserDetailsServiceTest","com.talentradar.user_service.service.CustomUserDetailsServiceTest","loadUserByUsername_WithInactiveUser_ReturnsUserDetailsWithCorrectStatus"
"","3","filterSessions_withDateAndNullUserId_shouldCallFilterByOnlyDate()","","Mon Jul 28 10:22:57 GMT 2025","passed","Mon Jul 28 10:22:57 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withDateAndNullUserId_shouldCallFilterByOnlyDate"
"","6","Should throw exception when token is invalid","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","validateRegistrationToken_WithInvalidToken_ThrowsException"
"","4","Should call sendRegistrationInvite with correct parameters","","Mon Jul 28 10:22:50 GMT 2025","passed","Mon Jul 28 10:22:50 GMT 2025","","com.talentradar.user_service.service.EmailServiceTest","com.talentradar.user_service.service.EmailServiceTest","sendRegistrationInvite_WithValidParameters_CallsService"
"","3","Should throw exception when user not found in getMe","","Mon Jul 28 10:22:53 GMT 2025","passed","Mon Jul 28 10:22:53 GMT 2025","","com.talentradar.user_service.service.UserServiceTest","com.talentradar.user_service.service.UserServiceTest","getMe_WithInvalidUserId_ThrowsException"
